Benchmark,D,Algorithm,Mean Err,Best Err,Std Err
high_conditioned_elliptic,2,DE,3.695704568850720,2.23556429706211E-12,13.260680515166300
high_conditioned_elliptic,2,GA,23.387773784289900,9.19270337088035E-05,22.13262817854210
bent_cigar,2,DE,199.67465962905400,1.85987055372036E-09,865.9470925684470
bent_cigar,2,GA,1226.7179817755400,0.03225841297597790,510.09804831250300
discus,2,DE,205.8688337700170,7.41737717484022E-10,868.5209911708830
discus,2,GA,6582.554155578140,0.00028528607251845500,1279.5515755000700
rosenbrocks,2,DE,0.7098570543176420,6.31130365319357E-07,1.8927535399076300
rosenbrocks,2,GA,1.81416616793916,2.52459275674429E-06,2.2355083145771300
ackleys,2,DE,0.32839365552078100,1.07240901003891E-06,0.7297873264032680
ackleys,2,GA,1.5381041114138400,0.0004445956081942090,0.4976211699889710
weierstrass,2,DE,-125.75188532178300,-133.44668178941700,10.20262308227990
weierstrass,2,GA,-127.86774652237000,-133.4489062960320,9.483521997419930
griewanks,2,DE,0.012481139754905300,0.00036344191891712900,0.006150725002956400
griewanks,2,GA,0.006968658823924270,2.69165923993953E-08,0.00518635224138697
rastrigins,2,DE,0.911046920489373,4.08903963489138E-06,1.5647022413796500
rastrigins,2,GA,1.5541306749587000,1.01670194396775E-06,1.6566748991089200